Year	1	9	27
1979	0	0	0
1980	0	0	0
1981	0	0	0
1982	0	0	0
1983	0	0	0
1984	0	0	0
1985	3878.114967	541.2329976	1826.172035
1986	6054.111362	1535.117072	3502.041566
1987	11511.38427	1553.111906	4030.473822
1988	14276.25811	4340.066896	3909.024993
1989	11533.96517	5696.262383	4280.162448
1990	24411.10642	11603.54174	9858.491833
1991	32303.16428	13824.8799	15348.38583
1992	21142.32567	8122.551567	7546.472764
1993	14516.2205	11824.69997	6569.259531
1994	9184.841351	13102.43625	6897.5524
1995	23044.99822	21583.8424	14171.49938
1996	33871.34744	28857.06485	18533.6877
1997	24464.50662	13622.49406	18218.95321
1998	8576.786623	10154.40445	8710.208926
1999	13477.75834	19776.74907	18923.30258
2000	24754.06352	30309.36882	21733.78798
2001	24588.11383	26661.1805	27565.64567
2002	27176.20465	18192.13511	24033.08024
2003	23312.39664	15840.45071	20131.09265
2004	32782.43493	24307.57907	25159.40115
2005	33560.0672	47756.70893	23244.64674
2006	18335.27741	40697.13535	16418.7866
2007	27672.02784	28191.09798	20551.28384
2008	25584.25855	29176.14163	16661.96824
2009	16518.29135	27729.41972	21445.40724
2010	17637.50892	22314.93744	14188.22315
2011	21781.66668	31819.67961	12611.21973
2012	17520.53188	26204.16707	8773.120253
2013	14960.79588	37815.52123	13087.81845
2014	15554.55969	28781.83038	12990.68325
2015	18776.43615	34951.79281	14584.97201
2016	10384.12732	17048.54791	8905.171313
2017	5957.882821	17499.41649	8181.142976
